,ZCTA5CE10,NAME,CBSAFP
0,43451,"Toledo, OH",45780
1,43452,"Fremont, OH",23380
2,43452,"Port Clinton, OH",38840
3,43456,"Port Clinton, OH",38840
4,43457,"Tiffin, OH",45660
5,43457,"Fremont, OH",23380
6,43457,"Toledo, OH",45780
7,43458,"Port Clinton, OH",38840
8,43460,"Toledo, OH",45780
9,43462,"Toledo, OH",45780
10,43463,"Toledo, OH",45780
11,43464,"Fremont, OH",23380
12,43464,"Sandusky, OH",41780
13,43465,"Toledo, OH",45780
14,43466,"Toledo, OH",45780
15,43467,"Toledo, OH",45780
16,43468,"Port Clinton, OH",38840
17,97824,"La Grande, OR",29260
18,97825,"Prineville, OR",39260
19,97826,"Hermiston-Pendleton, OR",25840
20,97827,"La Grande, OR",29260
21,97827,"Hermiston-Pendleton, OR",25840
22,97828,"Lewiston, ID-WA",30300
23,97830,"The Dalles, OR",45520
24,97833,"La Grande, OR",29260
25,97834,"La Grande, OR",29260
26,97835,"Hermiston-Pendleton, OR",25840
27,97835,"Walla Walla, WA",47460
28,97836,"Hermiston-Pendleton, OR",25840
29,97837,"Ontario, OR-ID",36620
30,97838,"Hermiston-Pendleton, OR",25840
31,97838,"Kennewick-Richland, WA",28420
32,97838,"Walla Walla, WA",47460
33,97839,"Hermiston-Pendleton, OR",25840
34,97840,,
35,97841,"La Grande, OR",29260
36,97842,,
37,97843,"Hermiston-Pendleton, OR",25840
38,97844,"Hermiston-Pendleton, OR",25840
39,97844,"Kennewick-Richland, WA",28420
40,97845,,
41,97846,"La Grande, OR",29260
42,97846,"Lewiston, ID-WA",30300
43,97848,,
44,97850,"La Grande, OR",29260
45,97850,"Hermiston-Pendleton, OR",25840
46,97856,"Hermiston-Pendleton, OR",25840
47,97857,"La Grande, OR",29260
48,97859,"La Grande, OR",29260
49,97859,"Hermiston-Pendleton, OR",25840
50,97862,"Hermiston-Pendleton, OR",25840
51,97862,"Walla Walla, WA",47460
52,97864,"Hermiston-Pendleton, OR",25840
53,97865,,
54,97867,"La Grande, OR",29260
55,97868,"La Grande, OR",29260
56,97868,"Hermiston-Pendleton, OR",25840
57,97869,,
58,97870,,
59,97873,,
60,97874,,
61,97875,"Hermiston-Pendleton, OR",25840
62,97876,"La Grande, OR",29260
63,97876,"Hermiston-Pendleton, OR",25840
64,97877,,
65,97880,"Hermiston-Pendleton, OR",25840
66,97882,"Hermiston-Pendleton, OR",25840
67,97882,"Kennewick-Richland, WA",28420
68,97883,"La Grande, OR",29260
69,94118,"San Francisco-Oakland-Hayward, CA",41860
70,94121,"San Francisco-Oakland-Hayward, CA",41860
71,94122,"San Francisco-Oakland-Hayward, CA",41860
72,94123,"San Francisco-Oakland-Hayward, CA",41860
73,94124,"San Francisco-Oakland-Hayward, CA",41860
74,94127,"San Francisco-Oakland-Hayward, CA",41860
75,94128,"San Francisco-Oakland-Hayward, CA",41860
76,94129,"San Francisco-Oakland-Hayward, CA",41860
77,94130,"San Francisco-Oakland-Hayward, CA",41860
78,94131,"San Francisco-Oakland-Hayward, CA",41860
79,94132,"San Francisco-Oakland-Hayward, CA",41860
80,39531,"Gulfport-Biloxi-Pascagoula, MS",25060
81,42409,"Evansville, IN-KY",21780
82,42409,"Madisonville, KY",31580
83,42410,"Madisonville, KY",31580
84,48755,,
85,42411,,
86,42413,"Madisonville, KY",31580
87,42413,"Owensboro, KY",36980
88,48756,,
89,48757,"Saginaw, MI",40980
90,48757,"Bay City, MI",13020
91,39532,"Gulfport-Biloxi-Pascagoula, MS",25060
92,39534,"Gulfport-Biloxi-Pascagoula, MS",25060
93,48759,,
94,39540,"Gulfport-Biloxi-Pascagoula, MS",25060
95,48760,"Detroit-Warren-Dearborn, MI",19820
96,48761,,
97,48762,"Alpena, MI",10980
98,39553,"Gulfport-Biloxi-Pascagoula, MS",25060
99,42420,"Evansville, IN-KY",21780
100,42420,"Owensboro, KY",36980
101,39556,"New Orleans-Metairie, LA",35380
102,39556,"Gulfport-Biloxi-Pascagoula, MS",25060
103,39556,"Picayune, MS",38100
104,48763,,
105,48765,,
106,48766,,
107,39560,"Gulfport-Biloxi-Pascagoula, MS",25060
108,48767,,
109,39561,"Gulfport-Biloxi-Pascagoula, MS",25060
110,42431,"Central City, KY",16420
111,42431,"Madisonville, KY",31580
112,42431,"Owensboro, KY",36980
113,42436,"Madisonville, KY",31580
114,48768,"Saginaw, MI",40980
115,48770,,
116,39562,"Gulfport-Biloxi-Pascagoula, MS",25060
117,39562,"Mobile, AL",33660
